smiles,is_standard_smiles,standardised_smiles,inchi_key
COC1=CC(C(=O)NCC2=CN=C(OC3=CC=C4C(=C3)CCC(C3=CC=CC=C3)O4)S2)=CC=N1,False,COc1cc(C(=O)NCc2cnc(Oc3ccc4c(c3)CCC(c3ccccc3)O4)s2)ccn1,UIZSLXWPXZEQDK-UHFFFAOYSA-N
C#CCN(C(=O)C1=CC=C(OC)C(OC2CCN(C(C)C)CC2)=C1)C1CCCCC1,False,C#CCN(C(=O)c1ccc(OC)c(OC2CCN(C(C)C)CC2)c1)C1CCCCC1,CKWKFEUTCSGMTM-UHFFFAOYSA-N
O=C1NC=C(SCC2=CC=CC=C2Cl)C=C1O,False,O=c1[nH]cc(SCc2ccccc2Cl)cc1O,HGXVOQYDMPTWTI-UHFFFAOYSA-N
O=C(CN1CCN(C2=CC=CC(C(F)(F)F)=C2)CC1)NC1=CC=C2C(=C1)OCCCO2,False,O=C(CN1CCN(c2cccc(C(F)(F)F)c2)CC1)Nc1ccc2c(c1)OCCCO2,QULUKOICHFEIJD-UHFFFAOYSA-N
CC1=NOC(C)=C1C(C1=CC=C(C(C)C)C=C1)N1CC[N+](C)(C)CC1,False,Cc1noc(C)c1C(c1ccc(C(C)C)cc1)N1CC[N+](C)(C)CC1,OKWNRLVXIVHVLV-DHZHZOJOSA-N
O=C(CN1C(=O)SC2=CC=CC=C12)NCCOC1=CC=CC=C1F,False,O=C(Cn1c(=O)sc2ccccc21)NCCOc1ccccc1F,VGOMSEQXNMIQQZ-UHFFFAOYSA-N
C/C(N)=C(/C#N)C(=O)COC(=O)C1=CC=C(O)C=C1,False,C/C(N)=C(/C#N)C(=O)COC(=O)c1ccc(O)cc1,GYHZBYPKMNZJKG-UHFFFAOYSA-N
CC(=O)NC1=CC=CC(C2CCN(CCCN3C(C4=CC=C(Br)C=C4)=NC4=CC=CC=C34)CC2)=C1,False,CC(=O)Nc1cccc(C2CCN(CCCn3c(-c4ccc(Br)cc4)nc4ccccc43)CC2)c1,HEMDRZGKIPPJAW-UHFFFAOYSA-N
CSC1=CC=CC(NC(=O)NC2=CC=CC3=CC=C(O)C=C23)=C1,False,CSc1cccc(NC(=O)Nc2cccc3ccc(O)cc23)c1,PVHBNBZBXUWLBW-QFBILLFUSA-N
CC(C)CN(CCCCC1=CC=CC=C1)C(=O)C(N)C(=O)NO,False,CC(C)CN(CCCCc1ccccc1)C(=O)C(N)C(=O)NO,NNRLZDQFBNPUON-QGOAFFKASA-N
